date,category,subcategory,amount,type,notes
2026-03-01,Revenue,Running,5160,income,40 pairs sold - Nimbus Stride 8 + Glide Cushion 4
2026-03-02,Revenue,Trail,2980,income,20 pairs sold - Trail Blazer Lite
2026-03-04,Revenue,Lifestyle,2670,income,30 pairs sold - Court Classic Mid
2026-03-05,Revenue,Outerwear,4580,income,Stratus Shell launch week
2026-03-08,Revenue,Bags,3180,income,Trailhead 32L + Commuter Roll-Top combo
2026-03-10,Revenue,Watches,5238,income,Smart Sport 2 pre-orders shipping
2026-03-12,Revenue,Racing,3580,income,Pacer Pro - racing season pickup
2026-03-15,Revenue,Running,6450,income,Best week for Glide Cushion 4
2026-03-18,Revenue,Trail,3576,income,Trail Blazer Lite restock cleared
2026-03-20,Revenue,Lifestyle,3115,income,Court Classic Mid color drop
2026-03-22,Revenue,Outerwear,5670,income,Downtown Puffer reorder shipped
2026-03-25,Revenue,Bags,2376,income,Commuter Roll-Top steady demand
2026-03-28,Revenue,Watches,4380,income,Field Watch 38 - retail expansion
2026-03-30,Revenue,Racing,2685,income,Pacer Pro - one inventory cycle
